story_id,title,description,story_points,business_value,risk_score,required_skill,sprint_id,sprint_completed,depends_on,status
XD-3768,"""How do I make a job restartable in spring xd""","""""""The jobs that appear under Executions section of Jobs in spring xd admin ui, has restart button disabled. How do I enable this ?""""""",1,6.30,0.48,Backend,BACKLOG-XD-2017,0,,backlog
XD-3767,"""admin config timezone command does not work""","""""""Working with Spring-XD version 1.3.2.RELEASE  Starting the server with {{xd-singlenode}} command, the following happens for the shell    How you can see the {{admin config timezone}} command shows {{Command 'admin config timezone' not found (for assistance press TAB)}}.  Seems a bug because in the previous output this command appears how a third valid option:   """"""",1,4.60,0.24,Backend,BACKLOG-XD-2017,0,,backlog
XD-3766,"""Module Upload command not pushing jar to all containers""","""""""My project 7 node cluster and in that 2 node are Admin containers and remaining are non admin containers. When i applied module upload command it created jar with md5 in custom_modules/jobs path only in admin nodes but not in other nodes. I am able to create job based on the uploaded module but job status is shown as """"""""Failed"""""""" and the reason behind is jars are not placed in all nodes custom_modules/jobs/test_module.jar. Can you anyone let us know the exact reason why module upload is pushing jars only to admin nodes but not all other nodes.""""""",13,6.10,0.48,Backend,BACKLOG-XD-2017,0,,backlog
XD-3765,"""Fix stream failover ""","""""""See https://github.com/spring-projects/spring-xd/issues/1924""""""",8,5.83,0.28,Backend,BACKLOG-XD-2017,1,,done
XD-3764,"""SpringXD Job is still executing even after forceful Server shutdown""","""""""I'm trying to run a Job on SpringXD and the job has 7 steps, When I reach step 4 i'm shutting down the XD server. When I look into the Metadata of SpringXD I'm saving on OracleDB. I see that the Step 4 is in executing status and it will never change to failed. After restarting the server, I still see that the status of the Job is still executing and it never gets finished. If I launch the job it create a new job and the new one gets finished.  My config.xml for jdbc:      <jdbc:initialize-database data-source=""""""""dataSource""""""""                        enabled=""""""""false"""""""">         <jdbc:script location=""""""""org/springframework/batch/core/schema-oracle10g.sql"""""""" /> </jdbc:initialize-database>  From org/springframework/batch/core/schema-oracle10g.sql, I see that the sql queries are for creating a table. But when the tables are already existing, as i didn't drop them from my previous job. There was no error which said tables already exist. The new job got appended to previous existing table. HOW? How can I force the job to fail when the XD server suddenly goes down? How can I resume the same job that was stopped from the step where it stopped? Thank you :)""""""",5,6.40,0.48,Backend,BACKLOG-XD-2017,0,,backlog
XD-3763,"""Duplicate entries in table XD_JOB_REGISTRY""","""""""Hello,  I have encountered following problem while using Spring XD in DIRT (distributed) mode. I have one xd-admin and two xd-containers, Redis as transportation, and SQL Server 2016 as the database. After deploying a job from UI to all available containers sometimes I get two same entries in table {{XD_JOB_REGISTRY}} for the job: !select.png!  As a result the JOBS -> Deployments page shows nothing but an error _Error fetching data. Is the XD server running_.  There is following exception in the xd-admin log:   ..because in {{DistributedJobLocator.java}} the query is expected to return exactly one record:   The code that adds a job in {{DistributedJobLocator.java}} seems to be susceptible to race conditions:   ...and there are no any unique constraints on the table columns: """"""",1,5.98,0.40,Backend,BACKLOG-XD-2017,0,,backlog
XD-3762,"""Spring XD Dynamic Module ClassLoader Issue""","""""""According to the documentation we can load jars dynamically at module creation time by exploiting the attribute module.classloader in the .properties file :  http://docs.spring.io/spring-xd/docs/1.3.1.RELEASE/reference/html/#module-class-loading  I spent two days trying to test this feature. It does not work. The option module.classloader seems to be simply ignored  I did not find any string named module.classloader in the XD code. But I found another one called module.classpath in this class:  https://github.com/spring-projects/spring-xd/blob/master/spring-xd-module/src/main/java/org/springframework/xd/module/options/ModuleUtils.java  The code in the above class seems to match the documentation. But unfortunalletely it does not work too. My classes are not found and I get java.lang.ClassNotFoundException  I have module option named dir4jars where I put the jars to load at creation time (when I issue job create --name xx --defintion ..). It's a directory, and I have tested the following possibilities, with both module.classpath and module.classloader :    I need the dir4jars to be absolute and outside XD home.  What's the right option to use for this dynamic load? module.classpath or module.classloader ? Is't a bug in the documentation ?  How can I set an absolute directory as I mentioned above?  Many thanks.""""""",1,6.60,0.55,Backend,BACKLOG-XD-2016,0,,backlog
XD-3761,"""java.util.concurrent.RejectedExecutionException in InetUtils.convertAddress""","""""""Hi,   We use spring config server 1.0.4-RELEASE with spring boot 1.2.5-RELEASE without any problems.  Now i update to spring boot 1.4.0.RELEASE and config 1.2.0.RELEASE.  Since then i have problems with the configserver. In the log you can see that the config server loads different configs. This is done from a start-script file to extract ports. This works fine.  then i start my spring boot app and at the same time i see these errors (RejectedExecutionException) see attachment.  Question: - is the config read from the configserver only read once at startup? - could there be a concurrent issue in the config server?  I have just tested spring boot 1.3.7 with config 1.2.0 and got the same problem. Did just another test: See ConfigServerLogV1.1.3_SpringBoot1.3.7.txt that has the same problem """"""",1,6.60,0.56,Backend,BACKLOG-XD-2016,0,,backlog
XD-3760,"""SpringXD authenication and authorization using LDAP""","""""""Hi,  I'm using LDAP to a Windows Active Directory as the authentication method for SpringXD. But after the user is authenticated in the SpringXD, the user is not authorized to do anythin.  Based on the guides and the configuration files, it is unclear where the authorization rules for each user should be put, ROLE_VIEW, ROLE_CREATE, ROLE_ADMIN.  Can the SpringXD team guide me to where will the authorization rules be created? In SpringXD servers.yml file or in Active Directory?  Regards, Yew Wee  """"""",1,4.21,0.21,Backend,BACKLOG-XD-2016,0,,backlog
XD-3759,"""Composed job endpoint is missing from the defined authorization rules""","""""""More details in the support ticket: https://issuetracker.springsource.com/browse/VESC-679  Following entires should be added to {{application.yml}} file.  """"""",1,5.98,0.36,Backend,BACKLOG-XD-2016,0,,backlog
XD-3758,"""flo don't work""","""""""i  unzip flo-spring-xd-admin-ui-client-1.3.1.RELEASE.jar to replace the existing spring-xd-admin-ui-client-1.3.1.RELEASE.jar,and clear my browser cache then restart the  xd-singlenode，but i can't access Flo for Spring XD at the following URI endpoints :http://HOST_NAME:PORT/admin-ui/#/streams/create , i can't find the """"""""flo"""""""" page! """"""",5,4.70,0.24,Frontend,BACKLOG-XD-2016,0,,backlog
XD-3757,"""Dead Letter is not created on all RabbitMQ queues for partionned stream""","""""""Hi,  If I use the module.[name].producer.paritionKeyExpression, and the module as also autoBindDLG enabled, the creates RabbbitMQ queues do not have the DeadLetter policy. The first queue has it (xdbus.<stream>.0-0) but others do not have it (xdbus.<stream>.0-N).  Thanks  Mickaël  """"""",5,6.71,0.54,Backend,BACKLOG-XD-2016,0,,backlog
XD-3756,"""wordcount failed to run in cloudera VM 5.7""","""""""I download the spring XD example projects, and run through the steps acccording the README file for the project. I tried to change the hadoop-site.xml, server.yml and wordcount.xml files, but I failed get the . I am blocked by this issue. Thank you very much in advance for help. Best Regards.""""""",3,6.30,0.53,Backend,BACKLOG-XD-2016,0,,backlog
XD-3755,"""Composed Modules Can't Have Duplicate Processors""","""""""  Produces {{2016-05-02 17:27:20aa}} - the first transform is applied twice. """"""",5,4.93,0.24,Backend,BACKLOG-XD-2016,0,,backlog
XD-3754,"""Composed Module Child Module Validated Too Early""","""""""{{module compose foo --definition """"""""time --fixedDelay=5 | shell --command=my.sh""""""""}}    The problem stems from the fact that the options metadata validation is performed on the shell module before the property from the composed module is injected.  Disabling the validation annotations on the metadata avoids the problem.  """"""",5,6.63,0.57,Backend,BACKLOG-XD-2016,0,,backlog
XD-3753,"""Add """"yarn.resourcemanager.scheduler.address"""" to mapreduce samples""","""""""The MapReduce samples should have """"""""yarn.resourcemanager.scheduler.address"""""""" since it might be needed in a multi node production cluster.""""""",2,4.70,0.24,DevOps,BACKLOG-XD-2016,0,,backlog
XD-3752,"""Admin UI login Page failing to load due to require.js timeout - FE""","""""""When i use the admin-ui web portal which runs on port 9393, there is a load timeout issue by require.js, failing to load the login screen. Could the team please look into this issue ASAP, or give me some other alternative !sping-ui-issue.png|thumbnail!""""""",13,5.00,0.24,Frontend,BACKLOG-XD-2016,0,,backlog
XD-3751,"""gpfdist may fail to shutdown with backlog""","""""""In a case where reactor's ringbuffer is full and thus handling backpressure by blocking `onNext`, shutdown phase where `onComplete` is send will cause a deadlock.  This is shown by a thread dump during a shutdown. This will basically break further deployments for this stream in distributed mode while single node will show more errors during undeployment.      I've been crafting workaround for this by trying to wait reactor stream/buffer to get drained by gpdb and finally as last resort, forcing processor in reactor to shutdown.""""""",5,6.33,0.48,DevOps,BACKLOG-XD-2016,0,,backlog
XD-3750,"""Cant completely remove custom module after putting properties in /config/modules/job/xx/xx.properties""","""""""if we put a custom module static properties in `/config/modules/job/module-name/module-name.properties` then we cannot completely remove the module -  you can delete module but you cannot upload new jar with the same name as it gives an error  - there is module already with the same name.  May be important to note that we had a zookeeper data corruption on which support asked us to upgrade. We couldn't upgrade just yet, so I cleaned up zookeeper and recreated all streams/job from original scripts.   I have observed this behavior after the corruption - I cannot tell for sure if the behavior was there or not before the corruption. In case it is not easily reproducible then it could be environment specific issue.  I may update JIRA once i get time to try it on my local distributed mode. """"""",1,6.08,0.57,Backend,BACKLOG-XD-2016,0,,backlog
XD-3749,"""Provisioning of Custom input/output Converters is Broken""","""""""Custom conversion is broken.  If the custom {{MimeType}} does not match any of those in {{MessageConverterUtils.getJavaTypeForContentType}} then the channel configuration fails with    The code needs to consult custom converters to see what {{MimeType}} (s) they support - and the output Java type.   See http://stackoverflow.com/questions/35639975/adding-a-custom-type-converter-to-spring-xd""""""",5,6.10,0.48,Backend,BACKLOG-XD-2016,0,,backlog
XD-3748,"""Unable to register the JMX bean MessageHistory from Spring Integration""","""""""If I try to use <int:message-history/> when developing a Spring XD module, it fails when try to export the JMX bean. I've seen that the naming strategy used is org.springframework.xd.dirt.module.jmx.ModuleObjectNamingStrategy  The stackTrace: """"""",1,6.00,0.61,Backend,BACKLOG-XD-2016,1,,done
XD-3747,"""Rabbit Bus: Expose ChannelCacheSize on CachingConnectionFactory""","""""""http://stackoverflow.com/questions/35563064/processing-messages-through-namedchannels-with-prefetch-1/35584333#35584333""""""",1,5.55,0.58,Backend,BACKLOG-XD-2016,1,,done
XD-3746,"""Update Spring Framework to 4.2.4""",,1,5.30,0.20,Backend,BACKLOG-XD-2016,1,,done
XD-3745,"""Update Spring-AMQP to 3.6, RabbitMQ Client to 1.5.4""","""""""Update to amqp-client 3.6.0 and spring-amqp 1.5.4""""""",1,5.30,0.29,Backend,BACKLOG-XD-2016,1,,done
XD-3744,"""Suppress DeliveryMode Header in RabbitMQ Source""","""""""Related to XD-2567 which fixed this problem, but only in the bus.  {quote} 2016-02-19T18:25:24-0500 1.2.1.RELEASE WARN SimpleAsyncTaskExecutor-1 support.DefaultAmqpHeaderMapper - skipping header 'amqp_deliveryMode' since it is not of expected type [class org.springframework.amqp.core.MessageDeliveryMode], it is [class org.springframework.amqp.core.MessageDeliveryMode] {quote}""""""",1,5.45,0.26,Backend,1,1,,done
XD-3743,"""Update to Spring Integration 4.2.5 When Available (Fix Metrics)""","""""""See INT-3956""""""",1,5.90,0.42,Backend,1,1,,done
XD-3742,"""Enable in line SSL properties as an alternative to external properties files""","""""""The following XD components have been identified to support SSL via an `sslProperties` property which points to the location of a properties file. The properties encryption extension for 1.3.1 does not currently apply to these:    * Rabbit Message Bus   * Rabbit Source   * Rabbit Sink   * Http Source (NettyHttpInboundChannelAdapter).   This can be made to work in the case of Rabbit since the latest RabbitConnectionFactoryBean supports individual SSL properties settings as an alternative to the properties file. The http source may be extended to use the same approach.""""""",3,5.55,0.39,Backend,1,1,,done
XD-3741,"""[Flo] Stream creation/definitions doesn't show any component""",""""""" As a Flo for Spring XD user, I would like to be able to create a new stream using the graphicat UI.   This flow should be shown in a graphical way also in definition tab. !http://example.com/image.png! Right now it doesn't happen due to a javascript error.   """"""",1,6.18,0.55,Frontend,1,1,,done
XD-3740,"""Kafka message bus maxWait property is not set up""","""""""The maxWait property from server.yml in the message bus section for kafka is not propagated through the code, it is ignored.""""""",1,5.90,0.48,Backend,1,1,,done
XD-3739,"""Incorrect refresh period for groovy scripts""","""""""All modules that allow groovy implementations (filter, script, transform, router, tcpclient) allow automatic refresh of the script when it changes. In the XD documentation it is stated that this refresh occurs every minute eg for filter at http://docs.spring.io/spring-xd/docs/1.3.0.RELEASE/reference/html/#filter """"""""The script is checked for updates every 60 seconds, so it may be replaced in a running system. """"""""   This set up can be seen in the spring xml for the modules - eg (again for filter)    However from the spring integration documentation http://docs.spring.io/spring-integration/docs/4.2.4.RELEASE/reference/html/messaging-endpoints-chapter.html#scripting-config it specifies that the refresh-check-delay parameter is actually in milliseconds - ie the above XD configuration would recheck the script every 60 milliseconds which may be a performance concern as it will be checking the lastmodified time of the script file.   Ideally this parameter would be configurable - in our case we would usually eliminate the refresh check altogether (set to -1) as our scripts will not change (or if they did a redeploy of the module would pick it up)  """"""",5,6.50,0.59,Backend,2,1,,done
XD-3738,"""Encrypt secret information in XD configuration files""","""""""Spring XD keeps passwords in text files such sas servers.yml, properties files, and module configuration files. Some users have requested a way to store encrypted values rather than clear text.  XD should provide a """"""""hook"""""""" for users to provide a custom component to detect encrypted property values and decrypt them during container, admin, and module initialization.""""""",2,5.45,0.45,Backend,1,1,,done
XD-3737,"""REST - Do not redirect after logout""","""""""In the following PR we removed the *RestLogoutSuccessHandler*.   https://github.com/spring-projects/spring-xd/pull/1562  This is necessary, though, for REST calls and the Admin UI. Otherwise some weird UI behavior might occur due to the HTTP redirect.""""""",1,6.20,0.39,Frontend,2,1,,done
XD-3736,"""Rabbit Pub/Sub Consumers Should Support Concurrency""","""""""PubSub consumers can support concurrency since the threads are competing consumers on the queue.  """"""",2,5.45,0.40,Backend,2,1,,done
XD-3735,"""Splunk sink - add option to write to index ""","""""""Add option to write to Splunk named index as an alternative to tcp.""""""",1,4.85,0.28,Database,BACKLOG-XD-2016,0,,backlog
XD-3734,"""AutoBindDLQ Incompatible with Partitioned Streams (Producer Side).""","""""""See http://stackoverflow.com/questions/34817906/spring-xd-rabbitmq-partitioned-stream-deployment-in-failure""""""",1,5.90,0.48,Backend,2,1,,done
XD-3733,"""Document redis pool properties in servers.yml""","""""""Add spring.redis.pool.*  properties to server.yml, commented out to show default values., e.g.,      maxIdle: 8,    minIdle: 0,     maxActive: 8,    maxWait: -1 """"""",1,4.80,0.35,Backend,2,1,,done
XD-3732,"""Overrides to servers.yml file aren't taken into account""","""""""As a developer, I'm adding new overrides to {{server.yml}} file; however, the overridden properties do not reflect even after the restart of server. """"""",2,6.13,0.34,Backend,BACKLOG-XD-2016,1,,done
XD-3731,"""Clean Up Compiler/Javadoc Warnings""","""""""""""""",1,4.45,0.31,Backend,2,1,,done
XD-3730,"""NPE in spring-integration when using kafka as message bus when using aggrzgation module""","""""""as stated in https://jira.spring.io/browse/INT-3908 sprint-integration in springxd can't use kafka as message bus in most case. Could it spring-xd integrat this fix for us to use it?""""""",3,6.80,0.68,Backend,BACKLOG-XD-2016,1,,done
XD-3729,"""Make module class loader or module available to implementation of custom module ""","""""""Requirements: Make the class loader of the custom XD module available to the code of the custom module.  Javassist's toClass method uses the thread's local class loader to [load classes|https://jboss-javassist.github.io/javassist/html/javassist/CtClass.html#toClass--]. This is most definitely inappropriate in the case of Spring XD modules, since many classes come from the lib/ directory of the module. Those will produce a ClassDefNotFound exception in javassist.  Currently the ModuleFactory basically """"""""throws away"""""""" the class loader, after generating it:    I think it would be sufficient if either the current module or the class loader itself could be injected into the custom classes of the custom XD module. As far as I can see I cannot get a grip on the Module instance in the current state of XD system.""""""",3,5.80,0.40,Backend,BACKLOG-XD-2016,0,,backlog
XD-3728,"""batch-hive module from spring-xd-samples project is not working""","""""""***Version  Spring XD Version : spring-xd-1.3.0.RELEASE, spring-xd-1.3.0.RELEASE-yarn  OS & Version: Linux 2.6.32-431.29.2.el6.x86_64   Java Version: java version """"""""1.7.0_65""""""""  ***Description  The batch-hive job in the spring-xd-samples project (link: https://github.com/spring-projects/spring-xd-samples/tree/master/batch-hive ) is failing with inline error message.  ***Steps to recreate the problem 1. Created a jar for batch-hive job.  2. Once the final jar was ready, uploaded using """"""""module upload --name test_hive_module --type job --file /home/user/jar/batch_hive.jar"""""""" 3. After that created and deployed job using """"""""job create --name test_hive_job --definition test_hive_module --deploy""""""""  4. Finally launched using """"""""job launch test_hive_job"""""""" which failed with inline error.  ***Describe XD Deployment : Distributed   Deployment Type : Distributed - YARN ( on AWS EC2 cloud ) Number of xd-admin’s and xd-container’s  : 1 Admin and 3 Containers    ***Describe Other Components  Transport: Redis 3.0.1 ZooKeeper: Version 3.4.6.2.3.2.0-2950   Hadoop deployment Data Platform : Hortonworks HDP 2.3.2.0-2950 RDBMS: MySQL    ***Error Message:   ***************************************************** INFO DeploymentSupervisor-0 zk.ZKJobDeploymentHandler - Deployment status for job 'test_hive_job': DeploymentStatus{state=failed,error(s)=org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'hive': Cannot resolve reference to bean 'hive-tasklet' while setting bean property 'tasklet'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'hive-tasklet': Initialization of bean failed; nested exception is java.lang.NoClassDefFoundError: org/apache/hadoop/hive/service/HiveClient         at org.springframework.beans.factory.support.BeanDefinitionValueResolver.resolveReference(BeanDefinitionValueResolver.java:359)         at org.springframework.beans.factory.support.BeanDefinitionValueR",5,5.75,0.43,Backend,BACKLOG-XD-2016,0,,backlog
XD-3727,"""xd.module.sequence Property Missing""","""""""Two separate reports of problems with this property:  http://stackoverflow.com/questions/34439296/spring-xd-stream-deployment-failure  http://stackoverflow.com/questions/34514393/issue-in-spring-xd-cluster-when-deploying-my-module""""""",3,5.15,0.32,Backend,BACKLOG-XD-2015,0,,backlog
XD-3726,"""Processor module does not load classes from custom module package""",""""""" The processor module which is failing to load castor classes from the module path.The code works fine with eclipse DIRT based test cases. I am attaching the code to this email. The jar that it built has the jars that it need at runtime in /module../lib folder.   The code worked fine when i put all the custom jars and application jar in xd/lib. Spoke to <USER>and confirm this is broken and need to be fixing.[^attachment-name.zip]""""""",5,6.40,0.48,Backend,BACKLOG-XD-2015,0,,backlog
XD-3725,"""EmbeddedHeadersMessageConverter Buffer Overflow""","""""""See https://github.com/spring-projects/spring-xd/issues/1871""""""",1,7.65,0.79,Backend,3,1,,done
XD-3724,"""Add Job RDBMS config in Ambari plugin""","""""""Spring XD Ambari plugin only supports HDB as job db. HDB is not good in production environment. It will be great if we can specify RDB in spring xd installation/config process.  """"""",2,5.20,0.27,Backend,BACKLOG-XD-2015,0,,backlog
XD-3723,"""Improve support for custom headers when using Kafka Message Bus""","""""""I understand Kafka natively does not have the concept of message headers. However, Spring Integration messages do and a lot of SI components are built specifically for dealing with message headers (header-enricher, header-filter, header-value-router, etc...). In addition, message headers are very useful for tracking meta-information about messages as they progress through a system.  With the implementation of https://jira.spring.io/browse/XD-3621; Spring XD has limited support for custom headers when using Kafka as a transport. I say limited, because it is required to list all custom headers explicitly in servers.yml in order for the headers to be retained by the MessageBus.  This is less than ideal because it means that it is necessary to know all potential custom header values a user will require before starting the environment.  It would be nice to extend this functionality so that it is not necessary to list custom headers in the configuration. Instead, when operating in mode=embeddedHeaders, Spring XD will simply embeds ALL headers in the Kafka message. Or alternatively, allow for a wildcard in the 'headers' configuration option so that it is not necessary to exhaustively list all possible custom header values prior to starting the system.""""""",5,4.70,0.24,Backend,BACKLOG-XD-2015,0,,backlog
XD-3722,"""Admin UI does not respond after login in IE 11 ""","""""""I have IE 11. The XD admin UI stops responding after the login prompt and I have to kill the browser every time. It's not functional. I have not tried it with security turned off. Attach is the screenshot of the version.""""""",1,6.90,0.52,Frontend,BACKLOG-XD-2015,0,,backlog
